word,audio_word,match_type,source,speaker,license,filename,url,size_bytes
значење,значење,exact,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-значење.wav,https://upload.wikimedia.org/wikipedia/commons/a/a9/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%B7%D0%BD%D0%B0%D1%87%D0%B5%D1%9A%D0%B5.wav,101164
ноември,ноември,exact,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-ноември.wav,https://upload.wikimedia.org/wikipedia/commons/f/f5/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%BD%D0%BE%D0%B5%D0%BC%D0%B2%D1%80%D0%B8.wav,109356
брак,брак,exact,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-брак.wav,https://upload.wikimedia.org/wikipedia/commons/8/8b/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%B1%D1%80%D0%B0%D0%BA.wav,84780
крал,крал,exact,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-крал.wav,https://upload.wikimedia.org/wikipedia/commons/d/d4/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%BA%D1%80%D0%B0%D0%BB.wav,92972
верува,верува,exact,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-верува.wav,https://upload.wikimedia.org/wikipedia/commons/1/18/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%B2%D0%B5%D1%80%D1%83%D0%B2%D0%B0.wav,92972
семејство,семејство,exact,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-семејство.wav,https://upload.wikimedia.org/wikipedia/commons/8/8f/LL-Q9296_%28mkd%29-Bjankuloski06-%D1%81%D0%B5%D0%BC%D0%B5%D1%98%D1%81%D1%82%D0%B2%D0%BE.wav,109356
композитор,композитор,exact,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-композитор.wav,https://upload.wikimedia.org/wikipedia/commons/1/14/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%BA%D0%BE%D0%BC%D0%BF%D0%BE%D0%B7%D0%B8%D1%82%D0%BE%D1%80.wav,101164
германски,германски,exact,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-германски.wav,https://upload.wikimedia.org/wikipedia/commons/b/b7/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%B3%D0%B5%D1%80%D0%BC%D0%B0%D0%BD%D1%81%D0%BA%D0%B8.wav,109356
триаголник,триаголник,exact,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-триаголник.wav,https://upload.wikimedia.org/wikipedia/commons/f/f5/LL-Q9296_%28mkd%29-Bjankuloski06-%D1%82%D1%80%D0%B8%D0%B0%D0%B3%D0%BE%D0%BB%D0%BD%D0%B8%D0%BA.wav,109356
битка,битка,exact,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-битка.wav,https://upload.wikimedia.org/wikipedia/commons/a/af/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%B1%D0%B8%D1%82%D0%BA%D0%B0.wav,92972
телескоп,телескоп,exact,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-телескоп.wav,https://upload.wikimedia.org/wikipedia/commons/f/ff/LL-Q9296_%28mkd%29-Bjankuloski06-%D1%82%D0%B5%D0%BB%D0%B5%D1%81%D0%BA%D0%BE%D0%BF.wav,101164
март,март,exact,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-март.wav,https://upload.wikimedia.org/wikipedia/commons/5/5b/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%BC%D0%B0%D1%80%D1%82.wav,92972
ритам,ритам,exact,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-ритам.wav,https://upload.wikimedia.org/wikipedia/commons/f/fb/LL-Q9296_%28mkd%29-Bjankuloski06-%D1%80%D0%B8%D1%82%D0%B0%D0%BC.wav,92972
многу,многу,exact,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-многу.wav,https://upload.wikimedia.org/wikipedia/commons/f/fd/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%BC%D0%BD%D0%BE%D0%B3%D1%83.wav,84780
гитара,гитара,exact,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-гитара.wav,https://upload.wikimedia.org/wikipedia/commons/f/f1/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%B3%D0%B8%D1%82%D0%B0%D1%80%D0%B0.wav,101164
време,време,exact,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-време.wav,https://upload.wikimedia.org/wikipedia/commons/2/27/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%B2%D1%80%D0%B5%D0%BC%D0%B5.wav,92972
денес,денес,exact,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-денес.wav,https://upload.wikimedia.org/wikipedia/commons/4/44/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%B4%D0%B5%D0%BD%D0%B5%D1%81.wav,101164
коса,коса,exact,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-коса.wav,https://upload.wikimedia.org/wikipedia/commons/e/eb/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%BA%D0%BE%D1%81%D0%B0.wav,84780
